auxco_id,title,task,task_description,default_kldb_id,default_isco_id,kldb_title_short
1851,Landwirtschaftliche/r Betriebsleiter/in,Führungsaufgaben mit Personalverantwortung in der Landwirtschaft,z.B. die landwirtschaftliche Produktion überwachen und allgemeine Geschäftsentscheidungen treffen; Arbeitseinsätze planen; die Vermarktung von landwirtschaftlichen Erzeugnissen planen; Mitarbeiter einstellen und Fortbildungen durchführen,11193,6111,Landwirtschaft (Führungskraft)
1502,Helfer/in - Nutztierhaltung,Ausführung von Hilfsarbeiten in der Nutztierhaltung,"z.B. Nutztiere füttern und tränken; Tierunterkünfte reinigen, desinfizieren und instandhalten; Fachkräfte beim Hüten von Schafen und bei der Aufzucht von Lämmern sowie beim Scheren unterstützen; beim Melken der Tiere mithelfen; Heu, Stroh und anderes Tierfutter laden, stapeln und lagern",11211,9212,Nutztierhaltung (außer Geflügelhaltung)
1503,Tierwirt/in - Nutztierhaltung,"Haltung und Zucht von Nutztieren, insbesondere von Rindern, Schafen und Schweinen","z.B. Weideland, Futter- und Wasserbestände bereitstellen und überwachen; Rinder, Schafe und Schweine und andere Nutztiere versorgen und füttern; Tiere treiben oder transportieren; Ställe oder Käfige instand halten; Gesundheit der Tiere überwachen; Aufgaben in Zucht und Reproduktion übernehmen; technische Geräte, bspw. Melkgeräte, bedienen und warten; Tiere bzw. Tierprodukte vermarkten",11212,6121,Nutztierhaltung (außer Geflügelhaltung)
1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,"Prüfung der Qualität von Zucht-, Fleisch- oder Milchleistungen sowie die Beratung von tierwirtschaftlichen Betrieben","z.B. Zucht-, Fleisch- und Milchleistungsprüfungen durchführen um hochwertige Qualität zu gewährleisten; Fett- und Eiweißgehalt von Milchproben untersuchen; bakteriologische und serologische Beschaffenheit der Milch feststellen; Tierzucht optimieren und dazu Zuchtwerte ermitteln; Mastdauer und Kosten berechnen; Identitätssicherung der Tiere gewährleisten und dazu Ohrmarken anbringen; Dokumentationsunterlagen führen",11213,3142,Nutztierhaltung (außer Geflügelhaltung)
1505,Ingenieur/in - Vieh- und Fleischwirtschaft,Erforschung von Formen der Nutztierproduktion sowie die strategische und wirtschaftliche Beratung von Zuchtbetrieben,"z.B. Zusammenleben, Fortpflanzung und Ernährung von Nutztieren untersuchen; Zucht- und Pflegeempfehlungen abgeben; auf Grundlage von Erb- und Zuchtwerten Konzepte zur Steigerung der Produktion optimieren; internationale Entwicklungen beobachten; tier- und milchwirtschaftliche Betriebe strategisch und wirtschaftlich beraten; an der Entwicklung neuer Vermarktungsstrategien mitarbeiten",11214,2132,Nutztierhaltung (außer Geflügelhaltung)
1507,Klauenpfleger/in,Pflege der Klauen von Nutztieren,z.B. Bein- und Klauenstellung beurteilen; Außen- und Innenklauen kürzen; überschüssiges Horn abtragen; Druckstellen entlasten; loses Horn und Hornfäulnis entfernen; Tierhygiene sicherstellen; durchgeführte Maßnahmen dokumentieren,11213,6121,Nutztierhaltung (außer Geflügelhaltung)
1506,Tierwirt/in - Geflügelhaltung,Haltung und Zucht von Geflügeltieren sowie Verkauf von Geflügelprodukten,"z.B. Geflügeltiere wie Hühner, Gänse oder Enten versorgen und aufziehen; Futter und Futterzusätze nach Zuchtplan mischen; Futtermittel und andere Betriebsmittel anbauen oder einkaufen; Gesundheit der Tiere überwachen und Impfungen durchführen; Käfige, Legebatterien und Freiplätze reinigen und instand halten; Eier und andere Produkte einsammeln, sortieren und für den Verkauf vorbereiten; Geflügel schlachten; technische Geräte bedienen und warten",11222,6122,Geflügelhaltung
1508,Fachberater/in – Geflügelzucht,Prüfung der Qualität von Geflügelprodukten sowie Beratung von Geflügelzuchtbetrieben,z.B. die Geflügelhaltung in Zuchtbetrieben kontrollieren; Zuchtplan für Futter aufstellen und optimieren; Gesundheit der Geflügeltiere überwachen und Krankheiten feststellen; über Marktanalysen die Vermarktung und den Verkauf von Geflügelprodukten planen und durchführen; technische Geräte des Zuchtbetriebs optimieren,11223,3142,Geflügelhaltung
1509,Imker/in,Haltung und Zucht von Bienen sowie die Erzeugung und Vermarktung von Imkereiprodukten,"z.B. Bienenstöcke bauen, überwachen und instand halten; Königinnen und Jungvölker einkaufen; Ertragsprodukte wie Honigzarge ernten und kontrollieren sowie Rohprodukte verarbeiten; technische Geräte zur Bienenzucht bedienen und warten; Bienenwanderungen durchführen",11232,6123,Imkerei
1510,Bienenzuchtberater/in,Prüfung der Qualität von Imkereiprodukten sowie Beratung von Imkern,z.B. Bienenstöcke konzipieren und auf Schädlinge kontrollieren; Qualität und Zustand von Königinnen und Jungvölkern untersuchen und beurteilen; Königinnen künstlich besamen; Ertragsprodukte kontrollieren; Imker bezüglich des effizienten Verkaufs beraten; geeignete Standorte zur Bienenzucht ermitteln und empfehlen,11233,3142,Imkerei
1511,Haustierzüchter/in,Haltung und Zucht von Haustieren zum Verkauf oder zur Präsentation auf Leistungsschauen,z.B. geeignete Tiere für die Zucht auswählen und Zuchtbuch führen; zeitgerechte Deckung organisieren; Geburtshilfe durchführen; Brutpaare betrachten; bei Bedarf Jungtiere von Hand aufziehen; Tiere artgerecht versorgen; Tierunterkünfte reinigen; Tiere an Endkunden oder Zoofachhandlungen verkaufen; Tiere auf Ausstellungen oder Zucht- und Leistungsschauen präsentieren,11282,6129,Tierwirtschaft
1512,Pelztierzüchter/in,Haltung und Zucht von Pelztieren sowie deren Schlachtung,"z.B. Nerze, Füchse und andere Pelztiere halten und züchten; Zuchtbuch führen; Tiere töten und Pelze gewinnen und lagern; zeitgerechte Deckung der Pelztiere organisieren; Jungtiere aufziehen; Tiere artgerecht halten, versorgen und pflegen; Tierunterkünfte einrichten und reinigen; für die Produkte werben; Erlöse verbuchen",11282,6129,Tierwirtschaft
1514,Futtermittelberater/in,Beratung von Tierwirten zu Futtermitteln,"z.B. individuelle Futterpläne unter Beachtung von Lebensalter, Haltungsform und Zuchtziel erstellen; Zusammensetzung und Menge der Futterration bestimmen; Futtervorrat, Futtereinrichtungen und -Anlagen in großen Betrieben EDV-gestützt kontrollieren; Futtermittel beschaffen, lagern und prüfen; Futteraufnahme der Tiere und Fürungsanlagen überwachen",11283,3142,Tierwirtschaft
1852,Zuchtbuchführer/in,Planung und Dokumentation der Züchtung von Rassetieren sowie Beratung von Züchtern,z.B. beglaubigte Abstammungsnachweise von Haustieren in einem Zuchtbuch eintragen; Einhaltung von Zuchtregelungen und -bestimmungen sicherstellen; einzelne Tiere von der Zucht ausschließen,11283,5164,Tierwirtschaft
1710,Tierwirtschaftsmeister/in,Führungsaufgaben mit Personalverantwortung in der Tierwirtschaft oder Tierzucht,"z.B. Zucht, Aufzucht, Haltung und Vermarktung von Tieren planen und koordinieren; Gesundheit und Entwicklung der Tiere kontrollieren, ggf. Maßnahmen ergreifen; Qualität tierischer Erzeugnisse überwachen; betriebswirtschaftliche Aufgaben übernehmen; kaufmännische Entscheidungen treffen; Mitarbeiter leiten; Schulungen und Weiterbildung für Mitarbeiter organisieren",11293,6129,Tierwirtschaft (Führungskraft)
1035,Pferdepfleger/in - Pferdehaltung und Service,Haltung von Pferden mit Fokus auf die Beratung und Unterstützung von Kunden,"z.B. Pferde füttern, tränken, reinigen, bewegen und trainieren; Kunden bezüglich Fütterung, Haltung und Trainingsmöglichkeiten beraten; Futtermittel beschaffen; Stallarbeiten durchführen",11302,5164,Pferdewirtschaft
1036,Pferdewirtschaftsfacharbeiter/in,Haltung von Pferden mit Fokus auf die Versorgung der Tiere,z.B. Stallarbeiten ausführen; Koppelauslauf schaffen und Zäune kontrollieren; Pferdetransporte durchführen; Futtermittel beschaffen,11302,6121,Pferdewirtschaft
1037,Pferdewirt/in - Zucht,Zucht von Pferden zum Verkauf oder zur Präsentation auf Leistungsschauen,z.B. Pferde für Zucht auswählen; Besamung veranlassen; Geburtsvorgang überwachen; Pferde für Zuchtschauen vorbereiten,11312,6121,Pferdewirtschaft - Pferdezucht
1038,Pferdewirt/in - Pferdereiten,Ausbildung von Pferden sowie die Teilnahme an Reit-Wettkämpfen,z.B. Pferde hinsichtlich ihrer Reiteignung beurteilen und ausbilden; Vorbereitung von Pferden für Wettbewerbe; Teilnahme an Wettbewerben; Training und Versorgung von Pferden,11322,5164,Pferdewirtschaft - Reiten
1039,Hufschmied/in,Pflege der Hufe von Pferden sowie Anfertigung und Befestigung von Hufeisen,"z.B. angepasste Hufeisen anfertigen, befestigen, pflegen und austauschen; Hufformen und - krankheiten erkennen; Hufformen korrigieren und Hufsohlen reinigen und ausschneiden",11333,7221,Hufbeschlagschmiede/-schmiedinnen
1040,Kutscher/in,Führen von Pferdekutschen zu Transportzwecken,z.B. Geschirr anlegen; Waren laden; Passagiere beim Ein und -Aussteigen unterstützen; Tiere lenken; Berücksichtigen der Verkehrssituation; Pflegen der Pferde,11342,9332,Kutscher/innen
1711,Pferdewirtschaftsmeister/in,Führungsaufgaben mit Personalverantwortung in der Pferdewirtschaft oder Pferdezucht,z.B. Versorgung von Pferden sicherstellen; Zuchtpläne aufstellen; Pferde trainieren; Zuchtmarkt beobachten; kaufmännische und administrative Tätigkeiten durchführen; Arbeitsabläufe planen und kontrollieren; betriebliches Geschehen organisieren,11393,6121,Pferdewirtschaft (Führungskraft)
1517,Fischereihelfer/in,Ausführung von Hilfsarbeiten in Fischereibetrieben,z.B. bei der chemischen und biologischen Aufbereitung des Wassers helfen; beim Düngen von Gewässern und Bekämpfen von Algen mitwirken; Boote und Fanggeräte nach Anweisung reinigen; bei seemännischen Arbeiten mitwirken; Fang einholen und sortieren; Ware für den Verkauf verladen,11401,9216,Fischwirtschaft
1519,Fischwirt/in,"Haltung und Zucht von Fischen in künstlichen Anlagen sowie deren Abfang, Verarbeitung und Verkauf","z.B. Fische züchten und vermehren; die Fischbrut pflegen; Jungfische in künstliche oder natürliche Teiche einsetzen; Teiche pflegen; Teichanlagen abfischen; Wasserqualität überwachen und ggf. Wasser physikalisch, chemisch oder biologisch aufbereiten bzw. dabei mithelfen",11412,6221,Fischzucht
1518,Fischer/in,"Fang, Verarbeitung und Verkauf von Fischen und Schalentieren aus natürlichen Gewässern","z.B. Fanggeräte vorbereiten und ausbringen; Fische fangen; Schleppfahrten zum Krabbenfang durchführen; Fanggeschirr bedienen; Meeresgrund mit Echolot beobachten; seemännische Arbeiten ausführen; Fang einholen, sortieren und im Hafen entladen; Boote, Netzte etc. kontrollieren, reinigen und reparieren; Fang zum Verkauf vorbereiten",11422,6222,Fischerei
1520,Fischereitechniker/in,"Planung, Koordination und Optimierung des Fischfangs in natürlichen Gewässern",z.B. Fischfangaktivitäten koordinieren; Vermarktung von Fisch und Fischprodukten organisieren; Fangmethoden und Fangtechniken analysieren und weiterentwickeln; Fischbestände und Gewässer kontrollieren,11423,3141,Fischerei
1715,Fischwirtschaftsmeister/in,Führungsaufgaben mit Personalverantwortung bei der Fischzucht oder beim Fischfang,"z.B. Fischfang durch bewegte oder stille Fischerei überwachen; das Abfischen der Teiche und Sortieren der Fische veranlassen; Haltung und Fütterung der Fische überwachen, Zuchtziele bestimmen; Vermarktung von Fisch und Fischprodukten planen und durchführen; Mitarbeiter und Auszubildende führen und den betrieblichen Teil der Ausbildung organisieren und durchführen",11493,6223,Fischwirtschaft (Führungskraft)
1046,Tierpflegehelfer/in,"Ausführung von Hilfsarbeiten in der Tierpflege in Tierheimen, Zoos, Forschungseinrichtungen oder Zuchtbetrieben","z.B. Tiere füttern und tränken; Tierunterkünfte herrichten, reinigen und warten; Unterstützung beim Transport leisten; bei der Betreuung mitwirken",11501,9212,Tierpflege (ohne Spezialisierung)
1047,Tierpfleger/in,"Betreuung und Zucht von Tieren in Tierheimen, Zoos oder Zuchtbetrieben",z.B. Tierunterkünfte einrichten und reinigen; Futterrationen planen und Tiere füttern; Tierverhalten beobachten und dokumentieren; Tiere trainieren; Tiere auf Krankheiten untersuchen; in der betrieblichen Verwaltung mitarbeiten; Kunden/innen und Besucher/innen beraten,11502,5164,Tierpflege (ohne Spezialisierung)
1048,Hundefriseur/in,Frisieren von Hunden,"z.B. Fell waschen, bürsten, scheren oder trimmen; Klauen schneiden; Zähne, Ohren, Augen kontrollieren und reinigen",11522,5164,Haus- und Zootierpflege
1049,Tierpfleger/in - Forschung und Klinik,Versorgung und Aufzucht von Versuchstieren sowie Mitwirkung bei Versuchen,"z.B. bei Versuchen mitwirken; Tiere für Behandlung vorbereiten; versuchsbedingte Verhaltensänderungen erkennen und melden; Angaben wie Gewicht, Größe und Verhalten dokumentieren; Tiere versorgen",11582,5164,Tierpflege
1050,Tierlehrer/in oder Falkner/in,Ausbildung von Tieren für spezielle Bedürfnisse oder zur Unterhaltung,z.B. Tiere für spezielle Bedürfnisse trainieren; Blindenhunde oder Polizeihunde ausbilden; Rettungshunde ausbilden; Falken ausbilden; Zirkustiere trainieren; Tiere versorgen,11582,5164,Tierpflege
1712,Tierpflegemeister/in,Führungsaufgaben mit Personalverantwortung in der Tierpflege,"z.B. Tierpflege und -haltung planen, steuern und überwachen; verhaltensgerechte Betreuung veranlassen; Ausbildungspläne für Tiere entwickeln; organisatorische und administrative Aufgaben übernehmen; Einsatz der Mitarbeiter anleiten; Einrichtung in der Öffentlichkeit repräsentieren; Sponsoren gewinnen",11593,5164,Tierpflege (Führungskraft)
9200,Winzer/in,"Anbau, Pflege und Ernte von Trauben sowie deren Verarbeitung und Vertrieb",z.B. Reben züchten und pflegen; neue Weinberge anlegen; Saatgut und Pflanzen von Sämlingen auswählen; Arbeiten am Rebstock sowie Bodenpflege und Düngung durchführen; Rebschädlinge und Rebkrankheiten bekämpfen; Trauben lesen,11602,6112,Weinbau
9201,Weinbauberater/in,Beratung von Winzern zum Weinanbau,"z.B. Weinbaubetriebe über Anbaumethoden, Neuanlage von Weinbergen, Düngung und Ernte und Pflanzenschutzmaßnahmen beraten; Seminare und Informationsveranstaltungen durchführen; Weinuntersuchungen und -kontrollen konzipieren, Testergebnisse auswerten und entsprechende Maßnahmen empfehlen",11603,3142,Weinbau
9202,Weinbergsverwalter/in,Führungsaufgaben mit Personalverantwortung im Weinanbau,"z.B. die Einhaltung von Vorschriften zum Arbeits- und Umweltschutz sicherstellen; Arbeitsverfahren und -abläufe planen und steuern, z.B. Bodenpflege, Arbeiten am Rebstock, Weinlese und Traubenverarbeitung; Einsatz von Maschinen und Geräten planen; Maschinen bedienen und warten",11694,1311,Weinbau (Führungskraft)
9203,Forstwirt/in,Bewirtschaftung von Wäldern sowie deren Pflege,"z.B. Waldbestände begründen, pflegen und schützen durch z.B. Bodenbearbeitung, Schädlingsbekämpfung und Durchforstung; bei Holzernte mitwirken; Waldwege bauen und instandhalten",11712,6210,Forstwirtschaft
9204,Natur- und Landschaftspfleger/in,"Pflege und Erhaltung von Naturschutzgebieten, Kulturlandschaften oder Erholungsgebieten","z.B. Schutzgebiete betreuen und überwachen; Schilder, Wegemarkierungen, Informationstafeln und Schutzeinrichtungen aufstellen; Pflanzungen und Biotope planen, anlegen und erhalten; Wege und z.B. Waldspielplätze oder Picknickplätze anlegen und pflegen",11723,3143,Natur- und Landschaftspflege
9205,Berufsjäger/in,Pflege und Erhaltung des Tierbestandes in einem Jagdrevier sowie die Regulierung des Wildbestandes durch Jagd,"z.B. Wild vor Beeinträchtigung oder Gefährdung schützen, z.B. vor Wildkrankheiten, Menschen, wildernden Hunde oder Katzen; Futterstellen unterhalten und Fütterung durchführen; Jagd planen und durchführen",11732,5419,Jagdwirtschaft und Wildhege
9206,Pflanzensammler/in,"Sammeln von Pilzen, Kräutern, Heilpflanzen, Beeren, Harz oder anderen wildwachsenden Pflanzen","z.B. Naturharz aus Bäumen durch Anritzen der Rinde gewinnen; Pilze, Kräuter, Heilpflanzen, Beeren oder andere wildwachsende Pflanzen sammeln",11742,6210,Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten
9207,Forstverwalter/in,Führungsaufgaben mit Personalverantwortung in der Pflege von Naturlandschaften und Wäldern,z.B. Mitarbeiter anleiten; Aus- und Weiterbildung planen und durchführen; Pflanzungen bzw. Bestandsbegrünungen sowie Holzernte planen und vorbereiten; Pflege und Schutz der Waldbestände anleiten und kontrollieren,11793,3143,"Forst- und Jagdwirtschaft, Landschaftspflege (Führungskraft)"
1053,Gartenbauhelfer/in,Ausführung von Hilfsarbeiten im Gartenbau,"z.B. bei Bau, Gestaltung und Pflege von Außenanlagen unterstützen; Saatgut entladen und sortieren; Boden mithilfe manueller Werkzeuge und einfacher Maschinen bearbeiten; Anpflanzung von Rasen, Bäumen und Blumen",12101,9214,Gartenbau
1054,Gärtner/in,"Anbau, Pflege und Zucht von Pflanzen sowie das Anlegen von Grünflächen und Beratung von Kunden","z.B. Gemüse, Obst und Zierpflanzen vermehren, ziehen, ernten; Grünflächen anlegen und pflegen; Maschinen warten; Kunden beraten; administrative und betriebswirtschaftliche Aufgaben übernehmen",12102,6113,Gartenbau (ohne Spezialisierung)
1055,Gartenbautechniker/in,"Planung, Koordination und Optimierung bei Pflanzarbeiten und Einsatz technischer Maschinen im Gartenbau","z.B. produktionstechnische Lösungen für Gartenbaubetriebe entwickeln (Anbau, Pflege, Vermehrung etc.); effektive Ernte und Lagerung steuern; Produktionsmittel umweltschonend einsetzen; Maßnahmen zum Pflanzenschutz entwickeln; Einkauf organisieren",12103,3142,Gartenbau (ohne Spezialisierung)
1056,Gartenbauingenieur/in,"Forschung, Entwicklung und Beratung in der Gartenbautechnik",z.B. neue Verfahren für Pflanzenzucht entwickeln; Qualitätskontrollen durchführen; Maßnahmen zur Optimierung der Produktivität und Vermarktung von Pflanzen entwickeln; Versuche zu Pflanzenschutz und Düngung durchführen; beratende Tätigkeiten ausüben,12104,2132,Gartenbau
1059,Gärtner/in - Gemüsebau,"Anbau, Pflege und Ernte von Gemüse, Kräutern und Pilzen","z.B. Saatgut auswählen, lagern und säen; Gemüsepflanzen pflegen und ernten; Boden bearbeiten; Geräte zur Ernte und Lagerung einsetzen; Gemüse sortieren, verpacken, transportieren; bei Pilzen Komposte mit Brut spicken und Wachstum überwachen",12112,6111,Obst- und Gemüsebau
1060,Gärtner/in - Obstbau,"Anbau, Pflege und Ernte von Obst und Strauchfrüchten","z.B. Obstbäume und Sträucher anbauen; Früchte ernten, lagern, verpacken und kennzeichnen; Bäume und Sträucher schneiden",12112,6112,Obst- und Gemüsebau
1061,Fachberater/in - Obst- und Gemüseanbau,"Anleitung von Fachkräften und Planung der Arbeitsabläufe im Bereich des Anbaus, der Pflege, der Ernte und des Vertriebs von Gemüse oder Obst",z.B. Saatgut auswählen und Anbau koordinieren; Pflege wie bspw. Schneiden von Bäumen veranlassen; Ernte und Lagerung steuern; Bedarf für Züchtungen untersuchen; Züchtungen entwickeln; Vermarktungsstrategien erarbeiten; Kosten und Termine kontrollieren und kalkulieren; Kontakte zu Kunden pflegen,12113,3142,Obst- und Gemüsebau
1062,"Baumschul-, Stauden-, Zierpflanzengärtner/in","Anbau, Pflege und Zucht von Bäumen, Sträuchern und Zierpflanzen zum Verkauf","z.B. Neuzüchtung von Pflanzen; Jungpflanzen selektieren, isolieren und pikieren; Pflanzenanbau planen; Produktionsfläche auswählen; Böden bearbeiten und pflegen; Pflanzen ernten, kennzeichnen und lagern; Pflanzen verkaufen, Kundenberatung durchführen",12122,6113,"Baumschule, Staudengärtnerei und Zierpflanzenbau"
1063,Fachberater/in - Pflanzen und Saatgut,"Planung, Koordination und Optimierung des Anbaus, der Pflege, Zucht und Vermarktung von Pflanzen und Saatgut",z.B. Anbau und Kultivierung von Pflanzen planen und steuern; äußere Einflüsse analysieren und Maßnahmen zur Verbesserung der Produktion entwickeln; Gartenbautechnik einsetzen; Versuche durchführen und Ergebnisse umsetzen; Produkte sowie Gartenbautechnik und Dünger vermarkten; Kundenberatung durchführen,12123,3142,"Baumschule, Staudengärtnerei und Zierpflanzenbau"
1057,Friedhofsgärtner/in,Gestaltung und Pflege von Grabstätten und Friedhofsanlagen,z.B. Grabstätten gestalten und bepflanzen Grabstätten und Friedhofsanlagen pflegen; Kränze und anderen Grabschmuck herstellen; Pflanzen kultivieren und verkaufen; Kundenberatung durchführen,12132,6113,Friedhofsgärtnerei
1058,Gartenbautechniker/in - Friedhofsgärtnerei,"Planung, Koordination und Optimierung der Gestaltung und Pflege von Grabstätten und Friedhofsanlagen",z.B. Bepflanzung der Grabanlagen nach wirtschaftlichen Möglichkeiten und rechtlichen Bestimmungen planen; aufwändige Kränze und Gestecke gestalten und verkaufen; Kunden beraten,12133,6113,Friedhofsgärtnerei
1066,Landschaftsgärtner/in,Gestaltung und Pflege von Grün- und Außenanlagen wie Golfplätzen,"z.B. Arbeiten im Garten- und Landschaftsbau vorbereiten; Rasenfläche anlegen, planen und bepflanzen; Anlage durch Wässern, Düngen und Schneiden pflegen und über entsprechende Maßnahmen zum Pflanzenschutz nachdenken; Sitzgelegenheiten und Wasserbecken bauen und planen; Wege und Plätze befestigen; Beregnungsanlagen installieren und konzipieren; Pläne für die Gestaltung umsetzen",12142,6113,"Garten-, Landschafts- und Sportplatzbau"
1067,Landschaftsarchitekt/in,Entwicklung von Konzepten in der Raum- und Stadtplanung mit Fokus auf Landschaftsschutz und Umwelt,z.B. raumplanerische Tätigkeiten ausüben; Gärten und Parks sowie Freiflächen entwerfen; landespflegerische Belange vertreten; bei Interessenvertretungen tätig sein; Gutachten und Konzepte erstellen,12144,2162,"Garten-, Landschafts- und Sportplatzbau"
1713,Gärtnermeister/in,Führungsaufgaben mit Personalverantwortung im Gartenbau,z.B. koordinierende Aufgaben in Produktion und Verkauf von bspw. Obst und Gemüse oder Bäumen und Stauden übernehmen; betriebliche Arbeit organisieren; Arbeitskräfte einteilen und anleiten; mit Kunden und Lieferanten zusammenarbeiten; administrative und betriebswirtschaftliche Aufgaben übernhemen; Gartenbaubetrieb repräsentieren,12193,6113,Gartenbau (Führungskraft)
