isco_id,auxco_id,auxco_title,isco_title
6112,1054,Gärtner/in,Tree and shrub crop growers
6111,1054,Gärtner/in,Field crop and vegetable growers
3142,1055,Gartenbautechniker/in,Agricultural technicians
2132,1056,Gartenbauingenieur/in,"Farming, forestry and fisheries advisers"
6113,1057,Friedhofsgärtner/in,"Gardeners, horticultural and nursery growers"
6113,1058,Gartenbautechniker/in - Friedhofsgärtnerei,"Gardeners, horticultural and nursery growers"
6111,1059,Gärtner/in - Gemüsebau,Field crop and vegetable growers
6112,1060,Gärtner/in - Obstbau,Tree and shrub crop growers
3142,1061,Fachberater/in - Obst- und Gemüseanbau,Agricultural technicians
6113,1062,"Baumschul-, Stauden-, Zierpflanzengärtner/in","Gardeners, horticultural and nursery growers"
3142,1063,Fachberater/in - Pflanzen und Saatgut,Agricultural technicians
7549,1064,Florist/in,Craft and related workers not elsewhere classified
7549,1065,Gestalter/in - Blumenkunst,Craft and related workers not elsewhere classified
6113,1066,Landschaftsgärtner/in,"Gardeners, horticultural and nursery growers"
2162,1067,Landschaftsarchitekt/in,Landscape architects
3142,1074,Pflanzenschützer/in,Agricultural technicians
6111,1075,Anbauer/in mit Spezialisierung,Field crop and vegetable growers
2132,1076,Pflanzenarzt/-ärztin,"Farming, forestry and fisheries advisers"
2132,1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,"farming, forestry and fisheries advisers"
9212,1502,Helfer/in - Nutztierhaltung,Livestock farm labourers
6121,1503,Tierwirt/in - Nutztierhaltung,Livestock and dairy producers
3142,1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,Agricultural technicians
2132,1505,Ingenieur/in - Vieh- und Fleischwirtschaft,"Farming, forestry and fishery advisers"
6122,1506,Tierwirt/in - Geflügelhaltung,Poultry producers
6121,1507,Klauenpfleger/in,Livestock and dairy producers
3142,1508,Fachberater/in – Geflügelzucht,Agricultural technicians
6123,1509,Imker/in,Apiarists and sericulturists
3142,1510,Bienenzuchtberater/in,Agricultural technicians
6129,1511,Haustierzüchter/in,Animal producers not elsewhere classified
6129,1512,Pelztierzüchter/in,Animal producers not elsewhere classified
3142,1514,Futtermittelberater/in,Agricultural technicians
9216,1517,Fischereihelfer/in,Fishery and aquaculture labourers
6222,1518,Fischer/in,Inland and coastal waters fishery workers
6223,1518,Fischer/in,Deep-sea fishery workers
6221,1519,Fischwirt/in,Aquaculture workers
1312,1519,Fischwirt/in,Aquaculture and fisheries production managers
3141,1520,Fischereitechniker/in,Life science technicians (excluding medical)
2132,1520,Fischereitechniker/in,"Farming, forestry and fisheries advisers"
6129,1710,Tierwirtschaftsmeister/in,Animal producers not elsewhere classified
1311,1710,Tierwirtschaftsmeister/in,Agricultural and forestry production managers
6121,1710,Tierwirtschaftsmeister/in,Livestock and dairy producers
6122,1710,Tierwirtschaftsmeister/in,Poultry producers
6123,1710,Tierwirtschaftsmeister/in,Apiarists and sericulturists
6121,1711,Pferdewirtschaftsmeister/in,Livestock and dairy producers
1311,1711,Pferdewirtschaftsmeister/in,Agricultural and forestry production manager
3142,1711,Pferdewirtschaftsmeister/in,Agricultural technicians
5164,1711,Pferdewirtschaftsmeister/in,Pet groomers and animal care workers
3423,1711,Pferdewirtschaftsmeister/in,Fitness and Recreation Instructors and Programm Leaders
5164,1712,Tierpflegemeister/in,Pet groomers and animal care workers
1439,1712,Tierpflegemeister/in,Service managers not elsewhere classified
6113,1713,Gärtnermeister/in,"Gardeners, horticultural and nursery growers"
1311,1713,Gärtnermeister/in,Agricultural and forestry production managers
6112,1713,Gärtnermeister/in,Tree and shrub crop growers
6111,1713,Gärtnermeister/in,Field crop and vegetable growers
3122,1714,Floristikmeister/in,Manufacturing supervisors
1321,1714,Floristikmeister/in,Manufacturing managers
6223,1715,Fischwirtschaftsmeister/in,Deep-sea fishery workers
1312,1715,Fischwirtschaftsmeister/in,Aquaculture and fisheries production managers
6221,1715,Fischwirtschaftsmeister/in,Aquaculture workers
6222,1715,Fischwirtschaftsmeister/in,Inland and coastal waters fishery workers
6111,1851,Landwirtschaftliche/r Betriebsleiter/in,Field crop and vegetable growers
1311,1851,Landwirtschaftliche/r Betriebsleiter/in,Agricultural and forestry production managers
6130,1851,Landwirtschaftliche/r Betriebsleiter/in,Mixed crop and animal producers
3142,1851,Landwirtschaftliche/r Betriebsleiter/in,Agricultural technicians
5164,1852,Zuchtbuchführer/in,Pet groomers and animal care workers 
6112,9200,Winzer/in,Tree and shrub crop growers
3142,9201,Weinbauberater/in,Agricultural technicians
2132,9201,Weinbauberater/in,"Farming, forestry and fisheries advisers"
1311,9202,Weinbergsverwalter/in,Agricultural and forestry production managers
6112,9202,Weinbergsverwalter/in,Tree and shrub crop growers
6210,9203,Forstwirt/in,Forestry and related workers
9215,9203,Forstwirt/in,Forestry labourers
3143,9203,Forstwirt/in,Forestry technicians
2132,9203,Forstwirt/in,"Agrar-, Forst- und Fischereiwissenschaftler und -berater"
3143,9204,Natur- und Landschaftspfleger/in,Forestry technicians
9215,9204,Natur- und Landschaftspfleger/in,Forestry labourers
6113,9204,Natur- und Landschaftspfleger/in,"Gardeners, horticultural and nursery growers"
2143,9204,Natur- und Landschaftspfleger/in,Environmental engineers
5419,9205,Berufsjäger/in,Protective services workers not elsewhere classified 
6210,9206,Pflanzensammler/in,Forestry and related workers
3143,9207,Forstverwalter/in,Forestry technicians
1311,9207,Forstverwalter/in,Agricultural and forestry production managers
3122,1700,Buchbindermeister/in,Manufacturing supervisors
3122,1701,Druckermeister/in,Manufacturing supervisors
3122,1702,Büchsenmachermeister/in,Manufacturing supervisors
3122,1703,Werkzeugmachermeister/in,Manufacturing supervisors
3122,1704,Uhrmachermeister/in,Manufacturing supervisors
3115,1705,Mühlenbautechniker/in,Mechanical engineering technicians
2144,1705,Mühlenbautechniker/in,Mechanical engineers
3115,1706,Umweltschutzverfahrenstechniker/in,Mechanical engineering technicians
2144,1706,Umweltschutzverfahrenstechniker/in,Mechanical engineers
2152,1707,Mikrotechnologe/-login,Electronics engineers 
2149,1708,Kybernetikingenieur/in,Engineering professionals not elsewhere classified
3119,1709,Wehrverwaltungsbeamter/in,Material and engineering professionals not elsewhere classified
2149,1709,Wehrverwaltungsbeamter/in,Engineering professionals not elsewhere classified
3116,1716,Techniker/in - Kunststoff- und Kautschuktechnik,Chemical engineering technicians
2145,1716,Techniker/in - Kunststoff- und Kautschuktechnik,Chemical engineers
3122,1717,Industriemeister/in - Holz- und Sägeindustrie,Manufacturing supervisors
1321,1717,Industriemeister/in - Holz- und Sägeindustrie,Manufacturing Managers
3119,1718,Techniker/in - Druck- und Medientechnik,Physical and engineering science technicians not elsewhere classified
2149,1718,Techniker/in - Druck- und Medientechnik,Engineering professionals not elsewhere classified
3135,1719,Steuerer von Verfahren in der Metallerzeugung,Metal production process controllers
2146,1719,Steuerer von Verfahren in der Metallerzeugung,"Mining engineers, metallurgists and related professionals"
3115,1720,Schweißtechniker/in,Mechanical engineering technicians
2144,1720,Schweißtechniker/in,Mechanical engineers
7311,1721,Uhrmacher/in,Precision-instrument makers and repairers
2144,1722,Maschinenbauingenieur/in,Mechanical engineers
3115,1722,Maschinenbauingenieur/in,Mechanical engineering technicians
7412,1723,Wartungs- und Servicetechniker/in,Electrical mechanics and fitters
3115,1723,Wartungs- und Servicetechniker/in,Mechanical engineering technicians
2144,1723,Wartungs- und Servicetechniker/in,Mechanical engineers
3115,1724,Hydraulik-Fachkraft,Mechanical engineering technicians
2144,1724,Hydraulik-Fachkraft,Mechanical engineers
3115,1725,Land- und Baumaschinentechniker/in,Mechanical engineering technicians
2144,1725,Land- und Baumaschinentechniker/in,Mechanical engineers
3115,1726,Luftfahrttechniker/in,Mechanical engineering technicians
2144,1726,Luftfahrttechniker/in,Mechanical engineers
3115,1727,Schiffbautechniker/in,Mechanical engineering technicians
2144,1727,Schiffbautechniker/in,Mechanical engineers
3115,1728,Zweiradtechniker/in,Mechanical engineering technicians
2144,1728,Zweiradtechniker/in,Mechanical engineers
3113,1729,Mechatroniktechniker/in,Electrical engineering technicians
2151,1729,Mechatroniktechniker/in,Electrical engineers
7421,1730,Elektrotechniker/in - Automatisierungstechnik,Electronics mechanics and servicers
3113,1730,Elektrotechniker/in - Automatisierungstechnik,Electrical engineering technicians
2152,1730,Elektrotechniker/in - Automatisierungstechnik,Electronics engineers
3113,1731,Solar- und Windenergietechniker/in,Electrical engineering technicians
2151,1731,Solar- und Windenergietechniker/in,Electrical engineers
3113,1732,Kabeltechniker/in,Electrical engineering technicians
2151,1732,Kabeltechniker/in,Electrical engineers
3113,1733,Elektrotechniker/in,Electrical engineering technicians
2151,1733,Elektrotechniker/in,Electrical engineers
2152,1733,Elektrotechniker/in,Electronics engineers
3114,1733,Elektrotechniker/in,Electronics engineering technicians
3522,1734,Techniker/in - Informations- und Kommunikationselektronik,Telecommunications engineering technicians
2153,1734,Techniker/in - Informations- und Kommunikationselektronik,Telecommunications engineers
3521,1734,Techniker/in - Informations- und Kommunikationselektronik,Broadcasting and audio-visual technicians
3114,1735,Mikrosystemtechniker/in,Electronics engineering technicians
2152,1735,Mikrosystemtechniker/in,Electronics engineers
3114,1736,Bordelektroniktechniker/in,Electronics engineering technicians
2152,1736,Bordelektroniktechniker/in,Electronics engineers
3119,1737,Konstruktionstechniker/in,Physical and engineering science technicians not elsewhere classified
2149,1737,Konstruktionstechniker/in,Engineering professionals not elsewhere classified
3119,1738,Qualitätssicherungstechniker/In,Physical and engineering science technicians not elsewhere classified
2141,1738,Qualitätssicherungstechniker/In,Industrial and production engineers
3115,1739,Textiltechniker/in,Mechanical engineering technicians
2149,1739,Textiltechniker/in,Engineering professionals not elsewhere classified
2163,1740,Textilmustergestalter/in,Product and garment designers
7532,1740,Textilmustergestalter/in,Garment and related patternmakers and cutters
3119,1741,Bekleidungstechniker/in,Physical and Engineering Science Technicians Not Elsewhere Classified
2149,1741,Bekleidungstechniker/in,Engineering professionals not elsewhere classified
3119,1742,Ledertechniker/in,Physical and engineering science technicians not elsewhere classified
2141,1742,Ledertechniker/in,Industrial and production engineers
9329,1751,"Helfer/in - Mineralgewinnung, -aufbereitung",Manufacturing labourers not elsewhere classified
9329,1752,Helfer/in - Rohkohlenaufbereitung,Manufacturing labourers not elsewhere classified
9329,1753,Helfer/in - Baustoffherstellung,Manufacturing labourers not elsewhere classified
3135,1843,Metallumformungstechniker/in,Metal production process controllers
2146,1843,Metallumformungstechniker/in,"Mining engineers, metallurgists and related professionals"
3117,1844,Gießereitechniker/in,Mining and metallurgical technicians
2146,1844,Gießereitechniker/in,"Mining engineers, metallurgists and related professionals"
3116,1845,Galvanotechniker/in,Chemical engineering technicians
2146,1845,Galvanotechniker/in,"Mining engineers, metallurgists and related professionals"
3112,1846,Metallbautechniker/in,Civil engineering technicians
2142,1846,Metallbautechniker/in,Civil engineers
3115,1847,Werkzeugtechniker/in,Mechanical engineering technicians
2144,1847,Werkzeugtechniker/in,Mechanical engineers
3115,1848,Waffentechniker/in,Mechanical engineering technicians
2144,1848,Waffentechniker/in,Mechanical engineers
7223,1853,Maschineneinrichter/in (spanlose Metallbearbeitung),Metal working machine tool setters and operators
7221,1853,Maschineneinrichter/in (spanlose Metallbearbeitung),"Blacksmiths, hammer smiths and forging press workers"
9329,2001,Gießereihelfer/in,"Manufacturing labourers not elsewhere classified (für die Berufe: Helfer/in - Metallerzeugung, Gießerei)"
8121,2002,Hüttentechnik - Fachkraft,Metal processing plant operators
3117,2004,Bergbau- und Hüttentechniker,Mining and metallurgical technicians
8121,2006,Walzer/in,Metal processing plant operators
7221,2007,Grob-/Hammerschmied/in,"Blacksmiths, hammer smiths and forging press workers"
8121,2010,Gießereimechaniker/in,Metal processing plant operators
7211,2014,Gießereiformer/in,Metal molders and core makers
3119,2018,Metallbearbeitungstechniker/in,Physical and engineering science technicians not elsewhere classified
7224,2022,Metallschleifer/in,"Metal polishers, wheel grinders and tool sharpeners"
7223,2023,Zerspanungsmechaniker/in,Metal working machine tool setters and operators
3119,2024,CNC-Techniker/in,Physical and engineering science technicians not elsewhere classified
7223,2025,Lasertechnische/r Assistent/in,Metal working machine tool setters and operators
2149,2028,Ingenieur/in - Lasertechnik,Engineering professionals not elsewhere classified
8122,2029,Oberflächenbeschichter/in,"Metal finishing, plating and coating machine operators"
9329,2032,Metalloberflächenbearbeitungshelfer/in,Manufacturing labourers not elsewhere classified
8122,2033,Emaillierer/in,"Metal finishing, plating and coating machine operators"
7214,2034,Metallbauer/in,Baumetallverformer und Metallbauer
9329,2040,Metallbauhelfer/in,Manufacturing labourers not elsewhere classified
7212,2042,Schweißer/in,Welders and flame cutters
7541,2045,Industrietaucher/in,Underwater divers
3122,2047,Metallbaumeister/in,Manufacturing supervisors
7222,2048,Feinmechaniker/in,Toolmakers and related workers
7311,2049,Präzisionsinstrumentenmacher/in,Precision-instrument makers and repairers
3115,2050,Feinwerktechniker/in,Mechanical engineering technicians
2144,2051,Feinwerktechnikingenieur/in,Mechanical engineers
9329,2052,Feinmechanikerhelfer/in,Manufacturing labourers not elsewhere classified
7222,2053,Werkzeugmechaniker/in,Toolmakers and related workers
3122,2058,Feinwerkmechanikermeister/in,Manufacturing supervisors
7233,2059,Maschinenschlosser/in,Agricultural and industrial machinery mechanics and repairers
7222,2062,Büchsenmacher/in,Toolmakers and related workers
9329,2063,Montagehelfer/in,Manufacturing labourers not elsewhere classified
8211,2064,Fertigungsmechaniker/in,Mechanical machinery assemblers
8182,2066,Kesselwärter/in,Steam engine and boiler operators
9623,2068,Zählerableser/in,Meter readers and vending-machine collectors
7233,2072,Hydraulikschlosser/in,"Agricultural and industrial machinery mechanics and repairers (für die Berufe: Motorenmechaniker/in, Turbinenmechaniker/in)"
9629,2075,Kraftfahrzeugmechanikerhelfer/in,Elementary workers not elsewhere classified
7231,2076,Kraftfahrzeugmechatroniker/in,Motor vehicle mechanics and repairers
3115,2077,Kraftfahrzeugtechniker/in,Mechanical engineering technicians
2144,2078,Kraftfahrzeugingenieur/in,Mechanical engineers
7233,2079,Land- und Baumaschinenmechaniker/in,Agricultural and industrial machinery mechanics and repairers
7232,2082,Fluggerätemechaniker/in - Triebwerkstechnik,Aircraft engine mechanics and repairers
8211,2083,Fluggerätemechaniker/in - Fertigungstechnik,Mechanical machinery assemblers
7214,2086,Schiffbauer/in,Structural metal preparers and erectors
7231,2089,Zweiradmechaniker/in - motorisierte Zweiräder,Motor vehicle mechanics and repairers
7234,2090,Fahrradmechaniker/in,Bicycle and related repairers
9329,2093,Metallbearbeitungshelfer/in,Manufacturing labourers not elsewhere classified
7412,2094,Mechatroniker/in,Electrical mechanics and fitters
7411,2100,Elektroinstallateur/in,Building and related electricians
7412,2101,Elektromaschinenbauer/in,Electrical mechanics and fitters
3113,2102,Elektromaschinenbauer/in - Optimierung,Electrical engineering technicians
3131,2104,Kraftwerker/in,Power production plant operators
8182,2104,Kraftwerker/in,Steam engine and boiler operators
2151,2105,Kraftwerksingenieur/in,Electrical engineers
7412,2106,Technische/r Assistent/in für regenerative Energietechnik,Electrical mechanics and fitters
7412,2109,Betriebselektriker/in,Electrical mechanics and fitters
3113,2109,Betriebselektriker/in,Electrical engineering technicians
7413,2111,Kabelmonteur/in,Electrical line installers and repairers
8212,2114,Elektrohelfer/in,Electrical and electronic equipment assemblers
7412,2115,Elektromechaniker/in,Electrical mechanics and fitters
7421,2115,Elektromechaniker/in,Electronics mechanics and servicers
7422,2118,Informations- und Kommunikationselektroniker/in,Information and communications technology installers and servicers
3122,2121,Metall- und Glockengießermeister/in,Manufacturing supervisors
3122,2122,Leiter/in - Metallbearbeitung,Manufacturing supervisors
3122,2123,Galvaniseurmeister/in,Manufacturing supervisors
3122,2124,Instandhaltungsleiter/in,Manufacturing supervisors
1321,2124,Instandhaltungsleiter/in,Manufacturing managers
3122,2126,Leiter/in Fahrzeugtechnik,Manufacturing supervisors
1321,2126,Leiter/in Fahrzeugtechnik,Manufacturing managers
3122,2128,Mechatronikermeister/in,Manufacturing supervisors
3122,2129,Leiter/in - Energietechnik,Manufacturing supervisors
3122,2130,Leiter/in - Elektrotechnik,Manufacturing supervisors
8189,2131,Mikrotechnologe/-technologin,Stationary plant and machine operators not elsewhere classified
7421,2134,Bordelektroniker/in,Electronics mechanics and servicers
2152,2139,Optoelektronikingenieur/in,Electronics engineers
3119,2143,Wehrtechniker/in,Physical and engineering science technicians not elsewhere classified
2149,2143,Wehrtechniker/in,Engineering professionals not elsewhere classified
2149,2144,Patentingenieur/in,Engineering professionals not elsewhere classified
1223,2145,Entwicklungsleiter/in,Research and development managers
3118,2146,Technische/r Zeichner/in,Draughtspersons
7222,2149,Modellbauer/in,Toolmakers and related workers
7522,2149,Modellbauer/in,Cabinet-makers and related workers
7522,2150,Sportgerätebauer/in,Cabinet-makers and related workers
3119,2151,Normentechniker/in,Physical and engineering science technicians not elsewhere classified
2149,2152,Sportingenieur/in,Engineering professionals not elsewhere classified
1223,2154,"Leiter/in - Technische Zeichnung, Konstruktion und Modellbau",Research and development managers
3122,2154,"Leiter/in - Technische Zeichnung, Konstruktion und Modellbau",Manufacturing supervisors
3122,2155,Leiter/in - Technische Produktionssteuerung und Qualitätssicherung,Manufacturing supervisors
1321,2155,Leiter/in - Technische Produktionssteuerung und Qualitätssicherung,Manufacturing managers
3119,2157,Fertigungstechnische/r Assistent/in,Physical and engineering science technicians not elsewhere classified
3119,2158,Fertigungstechniker/in,Physical and engineering science technicians not elsewhere classified
2141,2159,Produktionsingenieur/in,Industrial and production engineers
7543,2160,Qualitätskontrolleur/in,Product graders and testers (except foods and beverages)
9329,5177,Produktionshelfer/in – Kunststoff und Kautschuk,Manufacturing labourers not elsewhere classified
8142,5178,Verfahrensmechaniker/in - Kunststofftechnik,Plastic products machine operators
8141,5179,Verfahrensmechaniker/in - Kautschuktechnik,Rubber products machine operators
8141,5183,Mechaniker/in - Reifen und Vulkanisation,Rubber products machine operators
3122,5184,Industriemeister/in - Kunststoff und Kautschuk,Manufacturing supervisors
9329,5185,Lackiererhelfer/in,Manufacturing labourers not elsewhere classified
7132,5186,Lackierer/in,Spray painters and varnishers
3116,5187,Farb- und Lacktechniker/in,Chemical engineering technicians 
2145,5188,Farb- und Lackingenieur/in,Chemical engineers
7132,5189,Fahrzeuglackierer/in,Spray painters and varnishers
3111,5190,Lacklaborant/in,Chemical and physical science technicians
3122,5191,Lackierermeister/in,Manufacturing supervisors 
9329,5192,Helfer/in - Holz und Flechtwaren,Manufacturing labourers not elsewhere classified
7523,5193,Holzbearbeitungsmechaniker/in,Woodworking machine tool setters and operators
3119,5194,Holztechniker/in,Physical and engineering science technicians not elsewhere
2149,5195,Holzingenieur/in,Engineering professionals not elsewhere classified
7521,5196,Holz- und Korktrockner/in und –imprägnierer/in,Wood treaters
8172,5197,Sägewerker/in,Wood processing plant operators
7523,5198,Holzmechaniker/in,Woodworking machine tool setters and operators
3119,5199,Holztechniker/in – Automatisierungstechnik,Physical and engineering science technicians not elsewhere classified
7522,5200,Tischler/in,Cabinet-makers and related workers
7522,5201,Restaurator/in - Möbel und Holzobjekte,Cabinet-makers and related workers
3119,5202,Techniker/in - Holz- und Möbelbau,Physical and engineering science technicians not elsewhere classified
7317,5203,Bürsten- und Pinselmacher/in,"Handicraft workers in wood, basketry and related materials "
7317,5204,Flechtwarenmacher/in,"Handicraft workers in wood, basketry and related materials "
7522,5205,Wagner/in,Cabinet-makers and related workers 
7522,5206,Böttcher/in,Cabinet-makers and related workers 
3122,5208,Handwerksmeister/in - Holz,Manufacturing supervisors
9329,5210,Papierverarbeitungshelfer/in,Manufacturing labourers not elsewhere classified
8171,5211,Papiertechnologe/-technologin,Pulp and papermaking plant operators
3116,5212,Techniker/in - Papiertechnik,Chemical engineering technicians
2149,5213,Papieringenieur/in,Engineering professionals not elsewhere classified
8143,5214,Packmitteltechnologe/-technologin,Paper products machine operators
3115,5215,Lebensmittelverpackungstechniker/in,Mechanical engineering technicians
3119,5216,Mustermacher/in - Verpackungsmittelherstellung,Physical and engineering science technicians not elsewhere classified
2144,5217,Verpackungsingenieur/in,Mechanical engineers
3122,5218,Industriemeister/in - Papiererzeugung,Manufacturing supervisors
2166,5219,Grafikdesigner/in,Graphic and multimedia designers
2166,5220,Video- und Game-Designer/in,Graphic and multimedia designers
2513,5221,Informationsarchitekt/in,Web and multimedia developers
7321,5222,Mediengestalter/in - Digital und Print,Pre-press technicians
2166,5224,Art-Direktor/in,Graphic and multimedia designers
1222,5224,Art-Direktor/in,Advertising and public relations managers
8132,5229,Fotolaborant/in,Photographic products machine operators
3119,5230,Foto- und Medientechniker/in,Physical and engineering science technicians not elsewhere classified
2149,5231,Ingenieur - Foto und Medientechnik,Engineering professionals not elsewhere classified
3431,5232,Fotografenmeister/in,Photographers
3431,5233,Fotograf/in,Photographers
9329,5234,Drucker/in,Manufacturing labourers not elsewhere classified
7322,5234,Drucker/in,Printers
7323,5237,Buchbinder/in,Print finishing and binding workers
7323,5238,Buchrestaurator/in,Print finishing and binding workers
2166,5240,Medien- und Kommunikationsdesigner/in,Graphic and multimedia designers
7321,5241,Flexograf/in,Pre-press technicians
8153,8999,Maschinenführer/in zur Fertigung von Kleidungsstücken,Sewing machine operators
2163,9002,Schuhmodelleur/in,Product and garment designers
3119,9003,Schuhtechniker/in,Physical and engineering science technicians not elsewhere classified
3116,9004,Lebensmitteltechniker/in in der Frucht- und Gemüsesaftproduktion,Chemical engineering technicans 
3122,9005,Getränkeproduktionsleiter/in,Manufacturing supervisors
1321,9005,Getränkeproduktionsleiter/in,Manufacturing managers
8160,9006,Fachkraft in der Saftherstellung,Food and related products machine operators
7515,9007,Nahrungsmittelverkoster/in,Food and beverage tasters and graders
8160,9008,Weinküfer/in,Food and related products machine operators
3116,9009,Weinbautechniker/in,Chemical engineering technicians
3122,9010,Textilproduktionsleiter/in,Manufacturing supervisors
1321,9010,Textilproduktionsleiter/in,Manufacturing managers
7532,9013,Schnittmustermacher/in für Kleidungsstücke,Garment and related patternmakers and cutters
2163,9014,Modedesigner/in,Product and garment designers
8160,9015,Getränkemaschinensteuerer/-steuerin,Food and related products machine operators
3116,9016,Getränketechniker/in,Chemical engineering technicians
2145,9016,Getränketechniker/in,Chemical engineers
8160,9018,Brauereifacharbeiter/in,Food and related products machine operators
3116,9019,Brautechniker/in,Chemical engineering technicians
2145,9019,Brautechniker/in,Chemical engineers
9329,9020,Textilverarbeitungshelfer/in,Manufacturing labourers not elsewhere classified
7531,9021,Schneider/in,"Tailors, dressmakers, furriers and hatters"
8160,9023,Brenner/in,Food and related products machine operators
3116,9024,Brennereitechniker/in,Chemical engineering technicians
2145,9024,Brennereitechniker/in,Chemical engineers
7533,9026,Segelmacher/in,"Sewing, embroidery and related workers"
9329,9029,Textilhilfsarbeiter/in,Manufacturing labourers not elsewhere classified
8152,9030,Textilmaschinenführer/in,Weaving and knitting machine operators
8151,9030,Textilmaschinenführer/in,"Fibre preparing, spinning and winding machine operators"
8154,9030,Textilmaschinenführer/in,"Bleaching, dyeing and fabric cleaning machine operators"
8151,9035,Seiler/in,"Fibre preparing, spinning and winding machine operators"
7536,9039,Lederwarenhersteller/in,Shoemakers and related workers
7514,9040,Tiefkühlkosthersteller/in,"Fruit, vegetable and related preservers"
8160,9041,Helfer/in - Lebensmitteltechnik,Food and related products machine operators
7534,9045,Polsterer/Polsterin,Upholsterers and related workers
3122,9046,Leiter/in - Textilverarbeitung,Manufacturing supervisors
1321,9046,Leiter/in - Textilverarbeitung,Manufacturing managers
2145,9047,Lebensmittelingenieur/in für Spezialnahrung,Chemical engineers
9329,9048,Lederverarbeitungshelfer/in,Manufacturing labourers not elsewhere classified
3116,9049,"Lebensmitteltechniker/in - Feinkost, Fertiggerichte, Obstverwertung",Chemical engineering technicians
7531,9051,Hut- und Mützenmacher/in,"Tailors, dressmakers, furriers and hatters"
7536,9052,Schuhmacher/in,Shoemakers and related workers
7535,9053,Pelzveredler/in,"Pelt dressers, tanners and fellmongers"
8155,9053,Pelzveredler/in,Fur and leather preparing machine operators
3119,9054,Pelztechniker/in,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
3122,9055,Leiter/in Leder- und Pelzbearbeitung,Manufacturing supervisors
1321,9055,Leiter/in Leder- und Pelzbearbeitung,Manufacturing managers
7512,9061,Bäcker/in,"Bakers, pastry-cooks and confectionery makers"
8160,9061,Bäcker/in,Food and related products machine operators
3116,9062,Bäckereitechniker/in,Chemical engineering technicians
7511,9063,Fleischer/in,"Butchers, fishmongers and related food preparers"
8160,9063,Fleischer/in,Food and related products machine operators
3116,9064,Fleischereitechniker/in,Chemical engineering technicians
8160,9065,Fischverarbeiter/in,Food and related products machine operators
7511,9065,Fischverarbeiter/in,"Butchers, fishmongers and related food preparers"
3116,9066,Lebensmitteltechniker/in - Fischerzeugnisse,Chemical engineering technicians
7513,9067,Molkereifacharbeiter/in,Dairy products makers
8160,9067,Molkereifacharbeiter/in,Food and related products machine operators
3116,9068,Molkereitechniker/in,Chemical engineering technicians
8160,9069,Süßwarenfacharbeiter/in, Food and related products machine operators
3116,9070,Süßwarentechniker/in,Chemical engineering technicians
8160,9071,Tabakwarenmacher/in,Food and related products machine operators
7516,9071,Tabakwarenmacher/in,Tobacco preparers and tobacco products makers
3116,9072,Tabakwarentechniker/in,Chemical engineering technicians
3122,9076,Leiter/in - Lebensmittelindustrie,Manufacturing supervisors
1321,9076,Leiter/in - Lebensmittelindustrie,Manufacturing managers
3122,9077,Leiter/in - Tabakwarenindustrie,Manufacturing supervisors
1321,9077,Leiter/in - Tabakwarenindustrie,Manufacturing managers
