kldb_id,auxco_id,auxco_title,kldb_title
11322,1038,Pferdewirt/in - Pferdereiten,Berufe in der Pferdewirtschaft - Reiten - fachlich ausgerichtete Tätigkeiten
11333,1039,Hufschmied/in,Hufbeschlagschmiede/innen - komplexe Spezialistentätigkeiten
11342,1040,Kutscher/in,Kutscher/innen - fachlich ausgerichtete Tätigkeiten
11501,1046,Tierpflegehelfer/in,Berufe in der Tierpflege (o.S.) - Helfer-/Anlerntätigkeiten
11502,1047,Tierpfleger/in,Berufe in der Tierpflege (o.S.) - fachlich ausgerichtete Tätigkeiten
11512,1047,Tierpfleger/in,Berufe in der Nutztierpflege - fachlich ausgerichtete Tätigkeiten
11522,1047,Tierpfleger/in,Berufe in der Haus- und Zootierpflege
11522,1048,Hundefriseur/in,Berufe in der Haus- und Zootierpflege - fachlich ausgerichtete Tätigkeiten
11582,1049,Tierpfleger/in - Forschung und Klinik,Berufe in der Tierpflege (sonstige spezifische Tätigkeiten) - fachlich ausgerichtete Tätigkeiten
11582,1050,Tierlehrer/in oder Falkner/in,Berufe in der Tierpflege (sonstige spezifische Tätigkeiten) - fachlich ausgerichtete Tätigkeiten
12101,1053,Gartenbauhelfer/in,Berufe im Gartenbau (o.S.) - Helfer-/Anlerntätigkeiten
12102,1054,Gärtner/in,Berufe im Gartenbau (o.S.) - fachlich ausgerichtete Tätigkeiten
12103,1055,Gartenbautechniker/in,Berufe im Gartenbau (o.S.) - komplexe Spezialistentätigkeiten
12104,1056,Gartenbauingenieur/in,Berufe im Gartenbau (o.S.)  - hoch komplexe Tätigkeiten
12132,1057,Friedhofsgärtner/in,Berufe in der Friedhofsgärtnerei - fachlich ausgerichtete Tätigkeiten
12133,1058,Gartenbautechniker/in - Friedhofsgärtnerei,Berufe in der Friedhofsgärtnerei - komplexe Spezialistentätigkeiten
12112,1059,Gärtner/in - Gemüsebau,Berufe im Obst- und Gemüsebau - fachlich ausgerichtete Tätigkeiten
12112,1060,Gärtner/in - Obstbau,Berufe im Obst- und Gemüsebau - fachlich ausgerichtete Tätigkeiten
12113,1061,Fachberater/in - Obst- und Gemüseanbau,Berufe im Obst- und Gemüsebau - komplexe Spezialistentätigkeiten
12122,1062,"Baumschul-, Stauden-, Zierpflanzengärtner/in","Berufe in Baumschule, Staudengärtnerei und Zierpflanzenbau - fachlich ausgerichtete Tätigkeiten"
12123,1063,Fachberater/in - Pflanzen und Saatgut,"Berufe in Baumschule, Staudengärtnerei und Zierpflanzenbau - komplexe Spezialistentätigkeiten"
12202,1064,Florist/in,Berufe in der Floristik - fachlich ausgerichtete Tätigkeiten
12203,1065,Gestalter/in - Blumenkunst,Berufe in der Floristik - komplexe Spezialistentätigkeiten
12142,1066,Landschaftsgärtner/in,"Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten"
12143,1066,Landschaftsgärtner/in,"Berufe im garten-, Landschafts- und Sportplatzbau - komplexe Spezialistentätigkeiten"
12144,1067,Landschaftsarchitekt/in,"Berufe im Garten-, Landschafts- und Sportplatzbau - hoch komplexe Tätigkeiten"
11182,1074,Pflanzenschützer/in,Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
11182,1075,Anbauer/in mit Spezialisierung,Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
11184,1076,Pflanzenarzt/-ärztin,Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
11184,1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
11211,1502,Helfer/in - Nutztierhaltung,Berufe in der Nutztierhaltung (außer Geflügel) - Helfer-/Anlerntätigkeiten
11212,1503,Tierwirt/in - Nutztierhaltung,Berufe in der Nutztierhaltung (außer Geflügelhaltung) - fachlich ausgerichtete Tätigkeiten
11213,1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,Berufe in der Nutztierhaltung  (außer Geflügelhaltung) - komplexe Spezialistentätigkeiten
11214,1505,Ingenieur/in - Vieh- und Fleischwirtschaft,Berufe in der Nutztierhaltung (außer Geflügelhaltung) - hoch komplexe Tätigkeiten
11222,1506,Tierwirt/in - Geflügelhaltung,Berufe in der Geflügelhaltung - fachlich ausgerichtete Tätigkeiten
11213,1507,Klauenpfleger/in,Berufe in der Nutztierhaltung  (außer Geflügelhaltung) - komplexe Spezialistentätigkeiten
11223,1508,Fachberater/in – Geflügelzucht,Berufe in der Geflügelhaltung - komplexe Spezialistentätigkeiten
11232,1509,Imker/in,Berufe in der Imkerei - fachlich ausgerichtete Tätigkeiten
11233,1510,Bienenzuchtberater/in,Berufe in der Imkerei - komplexe Spezialistentätigkeiten
11282,1511,Haustierzüchter/in,Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
11282,1512,Pelztierzüchter/in,Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
11283,1514,Futtermittelberater/in,Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
11401,1517,Fischereihelfer/in,Berufe in der Fischwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
11422,1518,Fischer/in,Berufe in der Fischerei - fachlich ausgerichtete Tätigkeiten
11412,1519,Fischwirt/in,Berufe in der Fischzucht - fachlich ausgerichtete Tätigkeiten
11493,1519,Fischwirt/in,Aufsichtskräfte - Fischwirtschaft
11494,1519,Fischwirt/in,Führungskräfte - Fischwirtschaft
11423,1520,Fischereitechniker/in,Berufe in der Fischerei - komplexe Spezialistentätigkeiten
11424,1520,Fischereitechniker/in,Berufe in der Fischerei - hoch komplexe Tätigkeiten
11293,1710,Tierwirtschaftsmeister/in,Aufsichtskräfte - Tierwirtschaft
11294,1710,Tierwirtschaftsmeister/in,Führungskräfte - Tierwirtschaft
11393,1711,Pferdewirtschaftsmeister/in,Aufsichtskräfte - Pferdewirtschaft
11394,1711,Pferdewirtschaftsmeister/in,Führungskräfte - Pferdewirtschaft
11593,1712,Tierpflegemeister/in,Aufsichtskräfte - Tierpflege
11594,1712,Tierpflegemeister/in,Führungskräfte - Tierpflege
12193,1713,Gärtnermeister/in,Aufsichtskräfte - Gartenbau
12194,1713,Gärtnermeister/in,Führungskräfte - Gartenbau
12293,1714,Floristikmeister/in,Aufsichtskräfte - Floristik
12294,1714,Floristikmeister/in,Führungskräfte - Floristik
11493,1715,Fischwirtschaftsmeister/in,Aufsichtskräfte - Fischwirtschaft
11494,1715,Fischwirtschaftsmeister/in,Führungskräfte - Fischwirtschaft
11193,1851,Landwirtschaftliche/r Betriebsleiter/in,Aufsichtskräfte - Landwirtschaft
11194,1851,Landwirtschaftliche/r Betriebsleiter/in,Führungskräfte - Landwirtschaft
11283,1852,Zuchtbuchführer/in,Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
11602,9200,Winzer/in,Berufe im Weinbau - fachlich ausgerichtete Tätigkeiten
11603,9200,Winzer/in,Berufe im Weinbau - komplexe Spezialistentätigkeiten
11603,9201,Weinbauberater/in,Berufe im Weinbau - komplexe Spezialistentätigkeiten
11604,9201,Weinbauberater/in,Berufe im Weinbau - hoch komplexe Tätigkeiten
11694,9202,Weinbergsverwalter/in,Führungskräfte - Weinbau
11693,9202,Weinbergsverwalter/in,Aufsichtskräfte - Weinbau
11712,9203,Forstwirt/in,Berufe in der Forstwirtschaft - fachlich ausgerichtete Tätigkeiten
11711,9203,Forstwirt/in,Berufe in der Forstwirtschaft - Helfer-/Anlerntätigkeiten
11713,9203,Forstwirt/in,Berufe in der Forstwirtschaft - komplexe Spezialistentätigkeiten
11714,9203,Forstwirt/in,Berufe in der Forstwirtschaft - hoch komplexe Tätigkeiten
11723,9204,Natur- und Landschaftspfleger/in,Berufe in der Natur- und Landschaftspflege - komplexe Spezialistentätigkeiten
11711,9204,Natur- und Landschaftspfleger/in,Berufe in der Forstwirtschaft - Helfer-/Anlerntätigkeiten
11722,9204,Natur- und Landschaftspfleger/in,Berufe in der Natur- und Landschaftspflege - fachlich ausgerichtete Tätigkeiten
11724,9204,Natur- und Landschaftspfleger/in,Berufe in der Natur- und Landschaftspflege - hoch komplexe Tätigkeiten
11732,9205,Berufsjäger/in,Berufe in der Jagdwirtschaft und Wildhege - fachlich ausgerichtete Tätigkeiten
11793,9205,Berufsjäger/in,"Aufsichtskräfte - Forst- und Jagdwirtschaft, Landschaftspflege"
11742,9206,Pflanzensammler/in,Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten - fachlich ausgerichtete Tätigkeiten
11793,9207,Forstverwalter/in,"Aufsichtskräfte - Forst- und Jagdwirtschaft, Landschaftspflege"
11794,9207,Forstverwalter/in,"Führungskräfte - Forst- und Jagdwirtschaft, Landschaftspflege"
23493,1700,Buchbindermeister/in,"Aufsichtskräfte - Drucktechnik und -weiterverarbeitung, Buchbinderei"
23493,1701,Druckermeister/in,"Aufsichtskräfte - Drucktechnik und -weiterverarbeitung, Buchbinderei"
24593,1702,Büchsenmachermeister/in,Aufsichtskräfte - Feinwerk- und Werkzeugtechnik
24593,1703,Werkzeugmachermeister/in,Aufsichtskräfte - Feinwerk- und Werkzeugtechnik
24593,1704,Uhrmachermeister/in,Aufsichtskräfte - Feinwerk- und Werkzeugtechnik
25183,1705,Mühlenbautechniker/in,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
25184,1705,Mühlenbautechniker/in,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
25183,1706,Umweltschutzverfahrenstechniker/in,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
25184,1706,Umweltschutzverfahrenstechniker/in,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
26324,1707,Mikrotechnologe/-login,Berufe in der Mikrosystemtechnik - hoch komplexe Tätigkeiten
26384,1708,Kybernetikingenieur/in,Berufe in der Elektrotechnik (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
27183,1709,Wehrverwaltungsbeamter/in,Berufe in der technischen Forschung und Entwicklung (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
27182,1709,Wehrverwaltungsbeamter/in,Berufe in der technischen Forschung und Entwicklung (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
27184,1709,Wehrverwaltungsbeamter/in,Berufe in der technischen Forschung und Entwicklung (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
22103,1716,Techniker/in - Kunststoff- und Kautschuktechnik,"Kunststoff-,Kautschukhers(oS)-Spezialist"
22104,1716,Techniker/in - Kunststoff- und Kautschuktechnik,Berufe in der Kunststoff- und Kautschukherstellung (ohne Spezialisierung) - hoch komplexe Tätigkeiten
22393,1717,Industriemeister/in - Holz- und Sägeindustrie,Aufsichtskräfte - Holzbe- und -verarbeitung
22394,1717,Industriemeister/in - Holz- und Sägeindustrie,"Führung - Holzbe-, -verarbeitung"
23413,1718,Techniker/in - Druck- und Medientechnik,Drucktechnik - Spezialist
23414,1718,Techniker/in - Druck- und Medientechnik,Drucktechnik - Experte
24113,1719,Steuerer von Verfahren in der Metallerzeugung,Berufe in der Hüttentechnik - komplexe Spezialistentätigkeiten
24114,1719,Steuerer von Verfahren in der Metallerzeugung,Berufe in der Hüttentechnik - hoch komplexe Tätigkeiten
24423,1720,Schweißtechniker/in,Berufe in der Schweiß- und Verbindungstechnik - komplexe Spezialistentätigkeiten
24424,1720,Schweißtechniker/in,Berufe in der Schweiß- und Verbindungstechnik - hoch komplexe Tätigkeiten
24532,1721,Uhrmacher/in,Berufe im Uhrmacherhandwerk - fachlich ausgerichtete Tätigkeiten
24533,1721,Uhrmacher/in,Berufe im Uhrmacherhandwerk - komplexe Spezialistentätigkeiten
25104,1722,Maschinenbauingenieur/in,Berufe in der Maschinenbau- und Betriebstechnik (ohne Spezialisierung) - hoch komplexe Tätigkeiten
25103,1722,Maschinenbauingenieur/in,Berufe in der Maschinenbau- und Betriebstechnik (ohne Spezialisierung) -  komplexe Spezialistentätigkeiten
25132,1723,Wartungs- und Servicetechniker/in,Technische Servicekräfte in Wartung und Instandhaltung - fachlich ausgerichtete Tätigkeiten
25133,1723,Wartungs- und Servicetechniker/in,Technische Servicekräfte in Wartung und Instandhaltung - komplexe Spezialistentätigkeiten
25134,1723,Wartungs- und Servicetechniker/in,Technische Servicekräfte in Wartung und Instandhaltung - hoch komplexe Tätigkeiten
25183,1724,Hydraulik-Fachkraft,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten
25184,1724,Hydraulik-Fachkraft,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten
25223,1725,Land- und Baumaschinentechniker/in,Berufe in der Land- und Baumaschinentechnik - komplexe Spezialistentätigkeiten
25224,1725,Land- und Baumaschinentechniker/in,Berufe in der Land- und Baumaschinentechnik - hoch komplexe Tätigkeiten
25233,1726,Luftfahrttechniker/in,Berufe in der Luft- und Raumfahrttechnik - komplexe Spezialistentätigkeiten
25234,1726,Luftfahrttechniker/in,Berufe in der Luft- und Raumfahrttechnik - hoch komplexe Tätigkeiten
25243,1727,Schiffbautechniker/in,Berufe in der Schiffbautechnik - komplexe Spezialistentätigkeiten
25244,1727,Schiffbautechniker/in,Schiffbautechnik - Experte
25253,1728,Zweiradtechniker/in,Berufe in der Zweiradtechnik - komplexe Spezialistentätigkeiten
25254,1728,Zweiradtechniker/in,Zweiradtechnik - Experte
26113,1729,Mechatroniktechniker/in,Berufe in der Mechatronik - komplexe Spezialistentätigkeiten
26114,1729,Mechatroniktechniker/in,Berufe in der Mechatronik - hoch komplexe Tätigkeiten
26122,1730,Elektrotechniker/in - Automatisierungstechnik,Berufe in der Automatisierungstechnik - fachlich ausgerichtete Tätigkeiten
26123,1730,Elektrotechniker/in - Automatisierungstechnik,Berufe in der Automatisierungstechnik - komplexe Spezialistentätigkeiten
26124,1730,Elektrotechniker/in - Automatisierungstechnik,Berufe in der Automatisierungstechnik - hoch komplexe Tätigkeiten
26243,1731,Solar- und Windenergietechniker/in,Berufe in der regenerativen Energietechnik - komplexe Spezialistentätigkeiten
26244,1731,Solar- und Windenergietechniker/in,Berufe in der regenerativen Energietechnik - hoch komplexe Tätigkeiten
26263,1732,Kabeltechniker/in,Berufe in der Leitungsinstallation und -wartung - komplexe Spezialistentätigkeiten
26264,1732,Kabeltechniker/in,Berufe in der Leitungsinstallation und -wartung - hoch komplexe Tätigkeiten
26303,1733,Elektrotechniker/in,Berufe in der Elektrotechnik (ohne Spezialisierung) - komplexe Spezialistentätigkeiten
26304,1733,Elektrotechniker/in,Berufe in der Elektrotechnik (ohne Spezialisierung) - hoch komplexe Tätigkeiten
26313,1734,Techniker/in - Informations- und Kommunikationselektronik,Berufe in der Informations- und Telekommunikationstechnik - komplexe Spezialistentätigkeiten
26314,1734,Techniker/in - Informations- und Kommunikationselektronik,Berufe in der Informations- und Telekommunikationstechnik - hoch komplexe Tätigkeiten
26303,1734,Techniker/in - Informations- und Kommunikationselektronik,Berufe in der Elektrotechnik (ohne Spezialisierung) - komplexe Spezialistentätigkeiten
26323,1735,Mikrosystemtechniker/in,Berufe in der Mikrosystemtechnik - komplexe Spezialistentätigkeiten
26324,1735,Mikrosystemtechniker/in,Berufe in der Mikrosystemtechnik - hoch komplexe Tätigkeiten
26333,1736,Bordelektroniktechniker/in,"Berufe in der Luftverkehrs-, Schiffs- und Fahrzeugelektronik - komplexe Spezialistentätigkeiten"
26334,1736,Bordelektroniktechniker/in,"Berufe in der Luftverkehrs-, Schiffs- und Fahrzeugelektronik - hoch komplexe Tätigkeiten"
27223,1737,Konstruktionstechniker/in,Berufe in der Konstruktion und im Gerätebau - komplexe Spezialistentätigkeiten
27224,1737,Konstruktionstechniker/in,Berufe in der Konstruktion und im Gerätebau - hoch komplexe Tätigkeiten
27313,1738,Qualitätssicherungstechniker/In,Berufe in der technischen Qualitätssicherung - komplexe Spezialistentätigkeiten
27314,1738,Qualitätssicherungstechniker/In,Berufe in der technischen Qualitätssicherung - hoch komplexe Tätigkeiten
28103,1739,Textiltechniker/in,Berufe in der Textiltechnik (ohne Spezialisierung) - komplexe Spezialistentätigkeiten
28104,1739,Textiltechniker/in,Textiltechnik (o.S.) - Experte
28133,1739,Textiltechniker/in,Berufe in der Garn- und Seilherstellung - komplexe Spezialistentätigkeiten
28123,1739,Textiltechniker/in,Berufe in der Textilherstellung - komplexe Spezialistentätigkeiten
28143,1739,Textiltechniker/in,Berufe in der Textilveredlung - komplexe Spezialistentätigkeiten
28113,1740,Textilmustergestalter/in,Berufe in der Textilgestaltung - komplexe Spezialistentätigkeiten
28112,1740,Textilmustergestalter/in,Textilgestaltung - Fachkraft
28114,1740,Textilmustergestalter/in,Textilgestaltung - Experte
28223,1741,Bekleidungstechniker/in,"Berufe in der Bekleidungs-, Hut- und Mützenherstellung - komplexe Spezialistentätigkeiten"
28224,1741,Bekleidungstechniker/in,Bekleidungsherstellung - Experte
28313,1742,Ledertechniker/in,Berufe in der Lederherstellung - komplexe Spezialistentätigkeiten
28314,1742,Ledertechniker/in,Lederherstellung - Experte
21201,1751,"Helfer/in - Mineralgewinnung, -aufbereitung",Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
21201,1752,Helfer/in - Rohkohlenaufbereitung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
21201,1753,Helfer/in - Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
24123,1843,Metallumformungstechniker/in,Berufe in der Metallumformung - komplexe Spezialistentätigkeiten
24124,1843,Metallumformungstechniker/in,Berufe in der Metallumformung - hoch komplexe Tätigkeiten
24133,1844,Gießereitechniker/in,Berufe in der industriellen Gießerei - komplexe Spezialistentätigkeiten
24134,1844,Gießereitechniker/in,Berufe in der industriellen Gießerei - hoch komplexe Tätigkeiten
24303,1845,Galvanotechniker/in,Berufe in der Metalloberflächenbehandlung (ohne Spezialisierung) - komplexe Spezialistentätigkeiten
24304,1845,Galvanotechniker/in,Berufe in der Metalloberflächenbehandlung (ohne Spezialisierung) - hoch komplexe Tätigkeiten
24413,1846,Metallbautechniker/in,Berufe im Metallbau - komplexe Spezialistentätigkeiten
24414,1846,Metallbautechniker/in,Berufe im Metallbau - hoch komplexe Tätigkeiten
24523,1847,Werkzeugtechniker/in,Berufe in der Werkzeugtechnik - komplexe Spezialistentätigkeiten
24524,1847,Werkzeugtechniker/in,Berufe in der Werkzeugtechnik - hoch komplexe Tätigkeiten
24523,1848,Waffentechniker/in,Berufe in der Werkzeugtechnik - komplexe Spezialistentätigkeiten
24524,1848,Waffentechniker/in,Berufe in der Werkzeugtechnik - hoch komplexe Tätigkeiten
24212,1853,Maschineneinrichter/in (spanlose Metallbearbeitung),Berufe in der spanlosen Metallbearbeitung - fachlich ausgerichtete Tätigkeiten
24101,2001,Gießereihelfer/in,Berufe in der Metallerzeugung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
24112,2002,Hüttentechnik - Fachkraft,Berufe in der Hüttentechnik - fachlich ausgerichtete Tätigkeiten
24113,2004,Bergbau- und Hüttentechniker,Berufe in der Hüttentechnik - komplexe Spezialistentätigkeiten
24122,2006,Walzer/in,Berufe in der Metallumformung - fachlich ausgerichtete Tätigkeiten
24122,2007,Grob-/Hammerschmied/in,Berufe in der Metallumformung - fachlich ausgerichtete Tätigkeiten
24132,2010,Gießereimechaniker/in,Berufe in der industriellen Gießerei - fachlich ausgerichtete Tätigkeiten
24142,2014,Gießereiformer/in,Berufe in der handwerklichen Metall- und Glockengießerei - fachlich ausgerichtete Tätigkeiten
24203,2018,Metallbearbeitungstechniker/in,Berufe in der Metallbearbeitung (ohne Spezialisierung) - komplexe Spezialistentätigkeiten
24222,2022,Metallschleifer/in,Berufe in der schleifenden Metallbearbeitung - fachlich ausgerichtete Tätigkeiten
24232,2023,Zerspanungsmechaniker/in,Berufe in der spanenden Metallbearbeitung - fachlich ausgerichtete Tätigkeiten
24233,2024,CNC-Techniker/in,Berufe in der spanenden Metallbearbeitung - komplexe Spezialistentätigkeiten
24243,2025,Lasertechnische/r Assistent/in,Berufe in der Metallbearbeitung durch Laserstrahl - komplexe Spezialistentätigkeiten
24244,2028,Ingenieur/in - Lasertechnik,Berufe in der Metallbearbeitung durch Laserstrahl - hoch komplexe Tätigkeiten
24302,2029,Oberflächenbeschichter/in,Berufe in der Metalloberflächenbehandlung (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten
24301,2032,Metalloberflächenbearbeitungshelfer/in,Berufe in der Metalloberflächenbehandlung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
24382,2033,Emaillierer/in,Berufe in der Metalloberflächenbehandlung (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
24412,2034,Metallbauer/in,Berufe im Metallbau - fachlich ausgerichtete Tätigkeiten
24411,2040,Metallbauhelfer/in,Berufe im Metallbau - Helfer-/Anlerntätigkeiten
24422,2042,Schweißer/in,Berufe in der Schweiß- und Verbindungstechnik - fachlich ausgerichtete Tätigkeiten
24432,2045,Industrietaucher/in,Industrietaucher/innen und andere Taucherberufe - fachlich ausgerichtete Tätigkeiten
24493,2047,Metallbaumeister/in,Aufsichtskräfte - Metallbau und Schweißtechnik
24512,2048,Feinmechaniker/in,Berufe in der Feinwerktechnik - fachlich ausgerichtete Tätigkeiten
24512,2049,Präzisionsinstrumentenmacher/in,Berufe in der Feinwerktechnik - fachlich ausgerichtete Tätigkeiten
24513,2050,Feinwerktechniker/in,Berufe in der Feinwerktechnik - komplexe Spezialistentätigkeiten
24514,2051,Feinwerktechnikingenieur/in,Berufe in der Feinwerktechnik - hoch komplexe Tätigkeiten
24511,2052,Feinmechanikerhelfer/in,Berufe in der Feinwerktechnik - Helfer-/Anlerntätigkeiten
24522,2053,Werkzeugmechaniker/in,Berufe in der Werkzeugtechnik - fachlich ausgerichtete Tätigkeiten
24593,2058,Feinwerkmechanikermeister/in,Aufsichtskräfte - Feinwerk- und Werkzeugtechnik
25102,2059,Maschinenschlosser/in,Berufe in der Maschinenbau- und Betriebstechnik (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten
24522,2062,Büchsenmacher/in,Berufe in der Werkzeugtechnik - fachlich ausgerichtete Tätigkeiten
25101,2063,Montagehelfer/in,Berufe in der Maschinenbau- und Betriebstechnik (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
25112,2064,Fertigungsmechaniker/in,Maschinen- und Gerätezusammensetzer/innen - fachlich ausgerichtete Tätigkeiten
25122,2066,Kesselwärter/in,Maschinen- und Anlagenführer/innen - fachlich ausgerichtete Tätigkeiten
25131,2068,Zählerableser/in,Technische Servicekräfte in Wartung und Instandhaltung - Helfer-/Anlerntätigkeiten
25182,2072,Hydraulikschlosser/in,Berufe in der Maschinenbau- und Betriebstechnik (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten
25201,2075,Kraftfahrzeugmechanikerhelfer/in,Berufe in der Fahrzeugtechnik (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten
25212,2076,Kraftfahrzeugmechatroniker/in,Berufe in der Kraftfahrzeugtechnik - fachlich ausgerichtete Tätigkeiten
25213,2077,Kraftfahrzeugtechniker/in,Berufe in der Kraftfahrzeugtechnik - komplexe Spezialistentätigkeiten
25214,2078,Kraftfahrzeugingenieur/in,Berufe in der Kraftfahrzeugtechnik - hoch komplexe Tätigkeiten
25222,2079,Land- und Baumaschinenmechaniker/in,Berufe in der Land- und Baumaschinentechnik - fachlich ausgerichtete Tätigkeiten
25232,2082,Fluggerätemechaniker/in - Triebwerkstechnik,Berufe in der Luft- und Raumfahrttechnik - fachlich ausgerichtete Tätigkeiten
25232,2083,Fluggerätemechaniker/in - Fertigungstechnik,Berufe in der Luft- und Raumfahrttechnik - fachlich ausgerichtete Tätigkeiten
25242,2086,Schiffbauer/in,Schiffbautechnik - Fachkraft
25252,2089,Zweiradmechaniker/in - motorisierte Zweiräder,Berufe in der Zweiradtechnik - fachlich ausgerichtete Tätigkeiten
25252,2090,Fahrradmechaniker/in,Berufe in der Zweiradtechnik - fachlich ausgerichtete Tätigkeiten
24201,2093,Metallbearbeitungshelfer/in,Metallbearbeitung (o.S.) - Helfer
26112,2094,Mechatroniker/in,Berufe in der Mechatronik - fachlich ausgerichtete Tätigkeiten
26212,2100,Elektroinstallateur/in,Berufe in der Bauelektrik - fachlich ausgerichtete Tätigkeiten
